t:19.420000000000236 fi:1.0070569400214282 vz:2.50095467172967 wy:0.8412317361978578 ngpu:2781.7160623511827 k2:3460 k1:3460
t:19.350000000000225 fi:1.0023421906181664 vz:2.5275830601242775 wy:0.8554887451284854 ngpu:2880.072497727515 k2:3484 k1:3484
t:19.270000000000213 fi:1.0061153113225358 vz:2.570010243213739 wy:0.8748952389615369 ngpu:3010.7937100845484 k2:3516 k1:3516
t:19.58000000000026 fi:1.002427927928406 vz:2.4239407198974967 wy:0.8058079270078667 ngpu:2614.4906421848827 k2:3400 k1:3400
t:19.360000000000227 fi:1.0017772686707316 vz:2.5222167084082785 wy:0.8530619951284835 ngpu:2865.438042205379 k2:3480 k1:3480
t:19.470000000000244 fi:1.003307251615252 vz:2.4736131964211543 wy:0.8291965232329871 ngpu:2723.0729110499706 k2:3440 k1:3440
t:19.38000000000023 fi:1.0005860855884843 vz:2.511449552491987 wy:0.8482131978435129 ngpu:2837.2248356732284 k2:3472 k1:3472
t:19.520000000000252 fi:1.0081549011301416 vz:2.4571158156890287 wy:0.8199017633963406 ngpu:2668.0757252727244 k2:3424 k1:3424
t:19.31000000000022 fi:1.0043954994270545 vz:2.548918016305735 wy:0.8652005095746989 ngpu:2942.299351043127 k2:3500 k1:3500
t:19.57000000000026 fi:1.0034280798670705 vz:2.429473013547844 wy:0.8081375284900166 ngpu:2622.831228933077 k2:3404 k1:3404
t:19.430000000000238 fi:1.0063464578881474 vz:2.495500167747854 wy:0.838815536545873 ngpu:2769.3829174315424 k2:3456 k1:3456
t:19.77000000000029 fi:1.0071904462585843 vz:2.350743967672972 wy:0.7705171999806876 ngpu:2482.383366600883 k2:3336 k1:3336
t:19.44000000000024 fi:1.0056161313041145 vz:2.490038216398552 wy:0.8364035773572899 ngpu:2757.3583881892073 k2:3452 k1:3452
t:19.460000000000242 fi:1.0040964084788475 vz:2.4790941915328166 wy:0.8315937457520579 ngpu:2734.209643585389 k2:3444 k1:3444
t:19.50000000000025 fi:1.0008240937214883 vz:2.457140490987773 wy:0.8220392627786498 ngpu:2691.3402178544384 k2:3428 k1:3428
t:19.560000000000258 fi:1.0044101607891391 vz:2.4350046175406383 wy:0.8104751501025841 ngpu:2631.400854482882 k2:3408 k1:3408
t:19.70000000000028 fi:1.0071274279687825 vz:2.3789340352116812 wy:0.7834676338541284 ngpu:2523.1989574386935 k2:3360 k1:3360
t:19.540000000000255 fi:1.0063195318278857 vz:2.446064114283151 wy:0.8151736591268339 ngpu:2649.248246588149 k2:3416 k1:3416
t:19.490000000000247 fi:1.0016709664459744 vz:2.4626358438267513 wy:0.8244189942754326 ngpu:2701.6441661918684 k2:3432 k1:3432
t:19.740000000000286 fi:1.0020971003785628 vz:2.3567764679472902 wy:0.7746269951736285 ngpu:2501.047218312824 k2:3344 k1:3344
t:19.530000000000253 fi:1.0072465369075219 vz:2.4515911584980192 wy:0.8175341239923756 ngpu:2658.5367392259923 k2:3420 k1:3420
t:19.400000000000233 fi:1.0084179266205335 vz:2.5118390405605195 wy:0.8460754102148199 ngpu:2807.3343428474486 k2:3468 k1:3468
t:19.550000000000257 fi:1.005374025883167 vz:2.4405351240334663 wy:0.8128205956977976 ngpu:2640.2047537276085 k2:3412 k1:3412
t:19.650000000000272 fi:1.0039758797572744 vz:2.395966228311483 wy:0.792241629701249 ngpu:2558.475379401662 k2:3376 k1:3376
t:19.590000000000263 fi:1.0014098511626146 vz:2.418408133677896 wy:0.8034865320456006 ngpu:2606.373943175794 k2:3396 k1:3396
t:19.480000000000246 fi:1.0024987287550167 vz:2.4681269110687256 wy:0.8268048415742378 ngpu:2712.219757058733 k2:3436 k1:3436
t:19.800000000000296 fi:1.0030976465012333 vz:2.334172141166489 wy:0.7640676344025809 ngpu:2468.742288853251 k2:3324 k1:3324
t:19.670000000000275 fi:1.0016687414873635 vz:2.384882468649413 wy:0.7877178293568724 ngpu:2545.295459080894 k2:3368 k1:3368
t:19.63000000000027 fi:1.0062152852822044 vz:2.407059011473331 wy:0.7968027091646387 ngpu:2572.420929233357 k2:3384 k1:3384
t:19.880000000000308 fi:1.0005341672185823 vz:2.300619354682331 wy:0.7496765508013596 ngpu:2434.4148041819417 k2:3296 k1:3296
t:19.600000000000264 fi:1.0003739970279446 vz:2.412875641368815 wy:0.8011735204724986 ngpu:2598.476063493523 k2:3392 k1:3392
t:19.660000000000274 fi:1.002830700197225 vz:2.3904230601787284 wy:0.7899750098594165 ngpu:2551.7919975853765 k2:3372 k1:3372
t:19.64000000000027 fi:1.0051041259831286 vz:2.4015116547359514 wy:0.7945175713281575 ngpu:2565.3501498134656 k2:3380 k1:3380
t:19.730000000000285 fi:1.0033784586958645 vz:2.362309185437555 wy:0.7768220351024191 ngpu:2506.34380406486 k2:3348 k1:3348
t:19.620000000000267 fi:1.0073092047439482 vz:2.412607960739406 wy:0.7990969094051812 ngpu:2579.6924142805283 k2:3388 k1:3388
t:19.980000000000324 fi:1.0027382279397872 vz:2.2666515411690846 wy:0.7342243308123495 ngpu:2398.876891866066 k2:3264 k1:3264
t:19.810000000000297 fi:1.0017037614758144 vz:2.328660467415897 wy:0.7619387482036972 ngpu:2464.465152719063 k2:3320 k1:3320
